feature,importance
price,0.41482790177652007
price_per_bathroom,0.16212177327236485
price_per_bedroom,0.12861573677349664
beds,0.06422334336673763
bedrooms,0.0610734666402734
accommodates,0.039372062895476734
availability_365,0.028193037306948433
space_efficiency,0.020614415060608696
property_type_frequency,0.009252876889078589
availability_90,0.009002840160878801
property_type_label,0.008615974438150304
latitude,0.00853678507478853
longitude,0.007773648044314612
availability_60,0.007486797722054631
neighbourhood_frequency,0.005589159852661605
availability_30,0.004471164706932894
room_type_Private room,0.0039003608385275194
neighbourhood_label,0.0038445630190058156
room_type_Entire home/apt,0.002671024865650888
minimum_nights,0.0026447743370115804
maximum_nights,0.002619257630135109
host_is_superhost,0.0015817388367655497
instant_bookable,0.0013945215098364716
host_response_rate,0.00110980096853079
host_identity_verified,0.00042496908142460385
room_type_Shared room,3.800493182518186e-05
