Model,Calibration,Accuracy,F1_Score,Log_Loss,Brier_Score
XGBoost,Uncalibrated,0.7301029374843083,0.7267895822733422,0.6300247398474499,0.12060365575960769
XGBoost,Platt Scaling,0.7308561385890032,0.7299392243225721,0.6177898507075803,0.11895657381790747
XGBoost,Isotonic,0.7306050715541049,0.7278393823033179,0.6164443588726042,0.11750117092355201
Random Forest,Uncalibrated,0.7142857142857143,0.7110894925519888,0.6692840134618376,0.1285057159229748
Random Forest,Platt Scaling,0.7162942505649008,0.7170382962941783,0.6552531028226327,0.12625576715778317
Random Forest,Isotonic,0.7145367813206126,0.710559456659678,0.6430332822546996,0.12388515931439538
MLP,Uncalibrated,0.6989706251569169,0.6981722613065777,0.6738660227091469,0.1308272015561488
MLP,Platt Scaling,0.7220687923675622,0.7211561925126725,0.6547639850297614,0.12534080302861367
MLP,Isotonic,0.7225709264373588,0.7192521829150097,0.6339075045402129,0.12349149137477428
