feature,correlation_with_target
fp_score,0.8735825000232263
price_normalized,0.7876636777604427
price,0.7876636777604412
price_per_bathroom,0.5957709841160992
accommodates,0.4842559435843248
bedrooms,0.48254669502195857
beds,0.4660052410596608
price_per_bedroom,0.4330555017262947
neighbourhood_target_encoded,0.32586046743700475
bathrooms_numeric,0.32378779322641643
price_per_person,0.3226784031702244
estimated_revenue_l365d,0.29116536496975026
value_density,0.28718554514349526
review_to_capacity_ratio,0.2320038859814799
property_type_frequency,0.22861744885590124
neighbourhood_frequency,0.21462799764070872
property_type_label,0.1991229837817962
calculated_host_listings_count,0.16821456372042626
calculated_host_listings_count_entire_homes,0.1513205239428293
host_listings_count,0.1466306425007756
estimated_occupancy_l365d,0.14526325140360005
number_of_reviews,0.1355807214119296
host_total_listings_count,0.12762241197251042
host_portfolio_intensity,0.11553519927517036
review_scores_value,0.10032318997819956
booking_flexibility_score,0.09911603161277198
space_efficiency,0.09894224552588929
number_of_reviews_ly,0.09250146138105021
reviews_per_month,0.09235948659882448
minimum_nights,0.09174255867706695
instant_bookable,0.09064975399738416
minimum_nights_avg_ntm,0.09040081238701964
minimum_minimum_nights,0.09019586387628264
review_scores_communication,0.089585502113437
days_since_first_review,0.08795335327600218
space_per_person,0.0856115798322019
number_of_reviews_ltm,0.08265737068340884
calculated_host_listings_count_private_rooms,0.07950519456412952
review_scores_accuracy,0.07913208285296393
review_scores_rating,0.0780459486861533
rating_normalized,0.07804594868615329
avg_review_score,0.07510616841476955
number_of_reviews_l30d,0.07206110414144143
review_scores_checkin,0.06562317846489814
host_years,0.060606656563218446
host_id,0.05866943583251321
review_scores_cleanliness,0.04584112472932295
calculated_host_listings_count_shared_rooms,0.04202375035413686
has_reviews,0.03997706524874483
host_identity_verified,0.03741047145007739
review_momentum,0.03307180121441459
availability_30,0.03205718661795909
occupancy_rate,0.02889290701451556
availability_rate,0.028892907014515544
availability_365,0.028892907014515513
host_has_profile_pic,0.02843761227818966
host_response_rate,0.020368447167272662
maximum_maximum_nights,0.01801513432418284
maximum_nights_avg_ntm,0.018015049771231657
minimum_maximum_nights,0.018014975058035336
availability_60,0.01635426180624552
days_since_last_review,0.014815994497017143
review_scores_location,0.012852024387380987
neighbourhood_label,0.010498293207398975
availability_eoy,0.008791769604615134
host_is_superhost,0.008741134440149416
maximum_nights,0.004949666974279777
host_acceptance_rate,0.004728112502007939
availability_90,0.0022156471013614646
longitude,0.0016839000311822476
latitude,0.0005361027421032296
maximum_minimum_nights,0.00038996305539202745
has_availability,
