property_type,label,property_type_frequency,count
Entire home,14,0.24949779027721977,4968
Entire rental unit,18,0.2372940940136601,4725
Entire condo,10,0.12063077541181197,2402
Private room in home,37,0.08748493370831659,1742
Room in hotel,51,0.07081157091201286,1410
Entire guest suite,12,0.04198473282442748,836
Private room in rental unit,40,0.039323021293692244,783
Entire guesthouse,13,0.03118722378465247,621
Entire townhouse,21,0.018631980715146646,371
Private room in condo,30,0.013710325431900362,273
Room in boutique hotel,49,0.01215347529128164,242
Entire cottage,11,0.0118521494576135,236
Entire serviced apartment,20,0.009541984732824428,190
Entire bungalow,8,0.007181599035757332,143
Entire loft,16,0.006830052229811169,136
Private room in townhouse,44,0.005222981116914423,104
Private room in guest suite,35,0.0044194455604660505,88
Private room in resort,41,0.0030634793089594214,61
Private room in bed and breakfast,25,0.0029128163921253516,58
Private room in hostel,38,0.0029128163921253516,58
Shared room in hostel,58,0.0025110486139011652,50
Room in aparthotel,47,0.0022097227802330252,44
Entire villa,23,0.002159501807955002,43
Entire vacation home,22,0.0018079550020088388,36
Tiny home,64,0.0018079550020088388,36
Entire resort,19,0.001506629168340699,30
Entire place,17,0.0013057452792286058,26
Camper/RV,2,0.0012053033346725592,24
Private room in guesthouse,36,0.0012053033346725592,24
Private room,24,0.0010546404178384894,21
Private room in bungalow,26,0.0009039775010044194,18
Shared room in hotel,59,0.0006026516673362796,12
Private room in serviced apartment,42,0.0005524306950582563,11
Private room in villa,46,0.0005524306950582563,11
Private room in cottage,31,0.0004017677782241864,8
Private room in loft,39,0.0003515468059461631,7
Entire cabin,9,0.0003013258336681398,6
Entire bed and breakfast,7,0.0003013258336681398,6
Private room in casa particular,28,0.0002511048613901165,5
Shared room in bed and breakfast,53,0.0002008838891120932,4
Room in bed and breakfast,48,0.0001506629168340699,3
Tent,63,0.0001506629168340699,3
Shared room in rental unit,61,0.0001506629168340699,3
Room in hostel,50,0.0001506629168340699,3
Private room in camper/rv,27,0.0001506629168340699,3
Shared room in home,57,0.0001004419445560466,2
Treehouse,65,0.0001004419445560466,2
Private room in tiny home,43,0.0001004419445560466,2
Boat,1,0.0001004419445560466,2
Earthen home,6,0.0001004419445560466,2
Casa particular,4,0.0001004419445560466,2
Shared room in guesthouse,56,0.0001004419445560466,2
Shared room in loft,60,5.02209722780233e-05,1
Shared room in condo,55,5.02209722780233e-05,1
Shipping container,62,5.02209722780233e-05,1
Barn,0,5.02209722780233e-05,1
Shared room in boutique hotel,54,5.02209722780233e-05,1
Room in serviced apartment,52,5.02209722780233e-05,1
Private room in vacation home,45,5.02209722780233e-05,1
Private room in farm stay,34,5.02209722780233e-05,1
Private room in dome,32,5.02209722780233e-05,1
Private room in cave,29,5.02209722780233e-05,1
Entire in-law,15,5.02209722780233e-05,1
Cycladic home,5,5.02209722780233e-05,1
Campsite,3,5.02209722780233e-05,1
Private room in earthen home,33,5.02209722780233e-05,1
