RFE,SelectKBest,Importance_Threshold,Consensus
host_response_rate,host_acceptance_rate,beds,host_total_listings_count
host_acceptance_rate,host_listings_count,bedrooms,availability_30
host_is_superhost,host_total_listings_count,accommodates,maximum_nights
host_listings_count,latitude,availability_rate,host_years
host_total_listings_count,longitude,availability_365,host_listings_count
host_identity_verified,accommodates,longitude,reviews_per_month
latitude,bedrooms,latitude,review_scores_location
longitude,beds,bathrooms_numeric,estimated_occupancy_l365d
accommodates,minimum_nights,availability_eoy,beds
bedrooms,maximum_nights,availability_90,minimum_minimum_nights
beds,minimum_minimum_nights,host_listings_count,number_of_reviews
minimum_nights,maximum_minimum_nights,host_years,calculated_host_listings_count_entire_homes
maximum_nights,minimum_maximum_nights,host_total_listings_count,availability_eoy
minimum_minimum_nights,minimum_nights_avg_ntm,avg_review_score,days_since_first_review
maximum_minimum_nights,maximum_nights_avg_ntm,review_scores_location,review_scores_communication
minimum_maximum_nights,availability_30,reviews_per_month,number_of_reviews_ltm
maximum_maximum_nights,availability_60,availability_60,calculated_host_listings_count
minimum_nights_avg_ntm,availability_90,days_since_first_review,availability_60
maximum_nights_avg_ntm,availability_365,number_of_reviews,avg_review_score
availability_30,number_of_reviews,days_since_last_review,review_scores_cleanliness
availability_60,number_of_reviews_ltm,calculated_host_listings_count,number_of_reviews_l30d
availability_90,availability_eoy,review_scores_accuracy,minimum_maximum_nights
availability_365,number_of_reviews_ly,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
number_of_reviews,estimated_occupancy_l365d,availability_30,minimum_nights_avg_ntm
number_of_reviews_ltm,review_scores_accuracy,review_scores_cleanliness,availability_rate
number_of_reviews_l30d,review_scores_communication,minimum_nights_avg_ntm,host_acceptance_rate
availability_eoy,review_scores_location,estimated_occupancy_l365d,accommodates
number_of_reviews_ly,calculated_host_listings_count,number_of_reviews_ltm,review_scores_accuracy
estimated_occupancy_l365d,calculated_host_listings_count_entire_homes,review_scores_communication,days_since_last_review
review_scores_accuracy,calculated_host_listings_count_private_rooms,calculated_host_listings_count_private_rooms,maximum_maximum_nights
review_scores_cleanliness,reviews_per_month,review_scores_checkin,latitude
review_scores_checkin,bathrooms_numeric,host_acceptance_rate,bedrooms
review_scores_communication,host_years,maximum_minimum_nights,availability_365
review_scores_location,days_since_first_review,number_of_reviews_ly,room_type_Private room
instant_bookable,days_since_last_review,maximum_nights,bathrooms_numeric
calculated_host_listings_count,availability_rate,room_type_Private room,longitude
calculated_host_listings_count_entire_homes,room_type_Private room,minimum_nights,minimum_nights
calculated_host_listings_count_private_rooms,,minimum_minimum_nights,availability_90
reviews_per_month,,maximum_maximum_nights,review_scores_checkin
bathrooms_numeric,,minimum_maximum_nights,host_response_rate
host_years,,maximum_nights_avg_ntm,maximum_nights_avg_ntm
days_since_first_review,,number_of_reviews_l30d,number_of_reviews_ly
days_since_last_review,,host_response_rate,maximum_minimum_nights
availability_rate,,,
avg_review_score,,,
host_response_time_within a few hours,,,
host_response_time_within an hour,,,
room_type_Private room,,,
city_San Francisco,,,
