k,f1_mean,f1_std,method
5,0.9492758953361126,0.002235889796425362,ANOVA
7,0.9488023159186045,0.001624944834784178,ANOVA
9,0.9480024233503908,0.001033133014841488,ANOVA
11,0.9498489680594148,0.002689983576456096,ANOVA
13,0.9528571907946628,0.002927768285575048,ANOVA
15,0.9525362387585355,0.00251957619265475,ANOVA
17,0.9540469610257031,0.002439595178897043,ANOVA
19,0.95561629255755,0.0029261726787734536,ANOVA
21,0.9555497774253798,0.002526769123432195,ANOVA
23,0.967552479467027,0.0017986320410150187,ANOVA
25,0.9691195102208436,0.002406739159659426,ANOVA
5,0.9490230035801339,0.0022778062527303504,Mutual_Info
7,0.9496696752436528,0.002403665224742915,Mutual_Info
9,0.9517097858390621,0.0034302738453095435,Mutual_Info
11,0.9547300190576692,0.0014569666977937907,Mutual_Info
13,0.955053257191737,0.0017465828240451192,Mutual_Info
15,0.9549900545339625,0.0017677357470940128,Mutual_Info
17,0.95542349648077,0.0018115627607938791,Mutual_Info
19,0.955554023893167,0.0018560208826097306,Mutual_Info
21,0.9548028902179031,0.002806177086928278,Mutual_Info
23,0.9558815757777872,0.0018875584827500872,Mutual_Info
25,0.9558073902541901,0.002524962347130803,Mutual_Info
